UF,Trimestre,MediaDespesaTrimestre,DesvioPadraoDespesaTrimestre
RJ,2T2025,24931221.043779645,304189662.0454196
RJ,1T2025,23991387.9327447,285662276.0655168
RJ,3T2025,23953937.947038967,310102444.62328804
DF,3T2025,16740915.921161337,134556802.36841825
DF,2T2025,15666836.725289602,125408233.79478702
CE,2T2025,14761034.40465508,127742043.38183042
DF,1T2025,14731166.192882562,121000926.97129086
RN,3T2025,12175339.040719423,43071798.84045149
RN,2T2025,11772916.60877698,40807055.86273501
RN,1T2025,11584063.340454547,39931653.887684144
CE,1T2025,10401910.177302118,92583654.59685437
PE,3T2025,9980921.37600462,37602949.96422188
CE,3T2025,9644278.616165943,110170711.89689486
PE,2T2025,9416032.685305165,34680379.00917502
PA,1T2025,9109817.464854015,41377014.354475215
PE,1T2025,8978132.687985437,33636585.8593235
PA,2T2025,8827556.698654545,41914602.138276756
PA,3T2025,8720164.426784454,41372875.742326215
PI,2T2025,8575781.422148438,29950947.57988424
PI,3T2025,8568035.684,30413882.03018513
PI,1T2025,8109604.384235295,27662189.67124627
GO,2T2025,7580264.778452594,51915604.470087536
GO,3T2025,7416785.136646288,52013991.41986613
PR,1T2025,7411353.397138311,226146786.68612668
MS,1T2025,7035520.103222507,29663477.65049424
MS,3T2025,6646633.713566739,28269275.023184933
MS,2T2025,6599508.494181818,27928132.02222151
AL,1T2025,6565662.013821139,27776294.072981343
ES,3T2025,6512069.5760194175,36268472.84853586
AL,3T2025,6485708.563307087,28266853.224651285
AL,2T2025,6459608.404599999,27831396.502368104
AM,2T2025,6073309.086324787,20191477.29110837
AM,3T2025,5845192.536488095,18082273.39506
AM,1T2025,5648671.736923077,18103876.686266907
SP,2T2025,5353905.1564534595,77982562.92606911
SP,3T2025,5321763.316230946,80752188.23447442
PB,3T2025,5200419.30368421,27118421.16837152
PB,2T2025,4985190.226843434,26212798.329426266
RS,2T2025,4978134.793433848,34559195.80821677
PR,2T2025,4745232.069596891,77052375.46552654
PB,1T2025,4720244.153205128,24938994.933080286
GO,1T2025,4687769.623330135,34525448.202032916
RS,3T2025,4655987.599406333,34834515.22692582
SP,1T2025,4634778.4255741695,70555141.92038828
MT,3T2025,4624452.974242425,23532174.92765644
MT,2T2025,4606283.514753868,23612817.10851548
ES,2T2025,4531333.666281967,28190379.62133137
RS,1T2025,4491558.011879245,31286176.017129738
MT,1T2025,4484562.0612195125,22707306.237991657
SC,3T2025,4266817.907017379,18371361.074151978
ES,1T2025,4183593.433856041,26201291.433904596
SC,2T2025,3972836.3938944363,17220131.585071042
PR,3T2025,3929382.2782324217,28576602.66529694
SC,1T2025,3636454.0871309876,16048191.815085657
SE,1T2025,3614833.572129277,15433018.858402383
SE,3T2025,3549109.2392830187,15158012.884606954
SE,2T2025,3487712.310684411,14580209.320157547
MG,2T2025,3465569.5276744887,33095259.2399729
MG,3T2025,3367318.099427888,34498530.89892906
MA,3T2025,3297092.2332653063,9759561.837604202
MG,1T2025,3085836.889646648,30426466.278218843
AC,1T2025,2962974.351818182,8403673.845270177
RO,3T2025,2942053.0103472224,9676830.566440707
AC,3T2025,2933761.8506741575,8483095.344398236
RO,2T2025,2867490.266117216,9371731.870577987
RO,1T2025,2855601.061764706,8321423.604696995
AC,2T2025,2731638.1,7960596.77541067
BA,3T2025,2563634.2973033707,8457224.141070573
BA,1T2025,2531968.200619469,8393367.27860697
BA,2T2025,2468797.012560113,8381472.006120781
MA,2T2025,2387189.005638298,7122845.408055806
MA,1T2025,2072054.4409195401,5949677.022997324
TO,1T2025,1021384.4781672026,3488557.02998855
TO,2T2025,999898.5754999999,3375663.396627013
TO,3T2025,996950.9820186336,3374386.176961341
AP,3T2025,394227.449375,584991.5875847125
AP,2T2025,378088.933125,563227.6265606672
AP,1T2025,340592.13,509561.8761587825
